Name,Meta Critic,Cost,Class,Country,Whiskey Type
Aberlour A'Bunadh (Batch 38),8.67,$$$$,SingleMalt-like,Scotland,Malt
Amrut Bengal Tiger PX Single Cask (Canada),8.67,$$$$,SingleMalt-like,India,Malt
Arran Malt Madeira Wine Cask,8.67,$$$$,SingleMalt-like,Scotland,Malt
Glencadam 14yo Oloroso Sherry Cask Finish,8.67,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 18yo Marsala Finish,8.67,$$$$$,SingleMalt-like,Scotland,Malt
Glengoyne Cask Strength (batch 2),8.67,$$$$,SingleMalt-like,Scotland,Malt
Glengoyne Cask Strength (batch 4),8.67,$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie The Taghta,8.67,$$$$$,SingleMalt-like,Scotland,Malt
Karuizawa Asama Vintages 1999-2000,8.67,$$$$$+,SingleMalt-like,Japan,Malt
Mortlach 16yo (F&F),8.67,$$$$$,SingleMalt-like,Scotland,Malt
Tamdhu Batch Strength (both batches),8.67,$$$$,SingleMalt-like,Scotland,Malt
BenRiach 12yo Matured in Sherry Wood,8.66,$$$,SingleMalt-like,Scotland,Malt
Sullivans Cove French Oak,8.66,$$$$$+,SingleMalt-like,Tasmania,Malt
BenRiach 21yo Tawny Port Finish,8.65,$$$$$,SingleMalt-like,Scotland,Malt
Oban Distillers Edition (all vintages),8.65,$$$$,SingleMalt-like,Scotland,Malt
Redbreast Mano a Lámh,8.65,$$$,SingleMalt-like,Ireland,Malt
Balvenie 17yo Doublewood,8.64,$$$$$,SingleMalt-like,Scotland,Malt
Glengoyne Cask Strength (all batches),8.64,$$$$,SingleMalt-like,Scotland,Malt
Ledaig 18yo,8.64,$$$$$,SingleMalt-like,Scotland,Malt
Swiss Highland Classic Single Malt,8.64,$$$$$,SingleMalt-like,Switzerland,Malt
Longrow Red 14yo Burgundy Wood,8.63,$$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 21yo,8.62,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 21yo Gran Reserva,8.62,$$$$$,SingleMalt-like,Scotland,Malt
Highland Park Magnus (2017),8.62,$$$,SingleMalt-like,Scotland,Malt
Highland Park Valknut,8.62,$$$$,SingleMalt-like,Scotland,Malt
Macallan 25yo Fine Oak,8.62,$$$$$+,SingleMalt-like,Scotland,Malt
Aberlour A'Bunadh (Batch 57),8.61,$$$$,SingleMalt-like,Scotland,Malt
AnCnoc 2000,8.61,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Port Cask Finish,8.61,$$$,SingleMalt-like,Scotland,Malt
Bowmore 15yo Darkest,8.61,$$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain Moine (all bottlings),8.61,$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 15yo,8.61,$$$$,SingleMalt-like,Scotland,Malt
Highland Park Valkyrie,8.61,$$$$,SingleMalt-like,Scotland,Malt
Tomatin 14yo Portwood,8.61,$$$$,SingleMalt-like,Scotland,Malt
Ardbeg Galileo,8.6,$$$$$+,SingleMalt-like,Scotland,Malt
Hazelburn 12yo (Springbank),8.6,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 15yo Tawny Port Finish,8.59,$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 15yo Solera,8.59,$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 12yo Original,8.58,$$$,SingleMalt-like,Scotland,Malt
Kilchoman Sherry Single Cask,8.58,$$$$$,SingleMalt-like,Scotland,Malt
Macallan 12yo Sherry Oak,8.58,$$$$,SingleMalt-like,Scotland,Malt
Spirit of Hven Sankt Claus,8.58,$$$$$,SingleMalt-like,Sweden,Malt
Tobermory 15yo,8.58,$$$$$,SingleMalt-like,Scotland,Malt
Balblair 1989,8.57,$$$$$,SingleMalt-like,Scotland,Malt
Balvenie 16yo Triple Cask,8.57,$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 12yo,8.57,$$$,SingleMalt-like,Scotland,Malt
Glengoyne 18yo,8.57,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Quinta Ruban,8.57,$$$,SingleMalt-like,Scotland,Malt
Santis Alpstein (all editions),8.57,$$$$$,SingleMalt-like,Switzerland,Malt
Aberfeldy 18yo,8.56,$$$$,SingleMalt-like,Scotland,Malt
Bowmore 12yo Enigma,8.56,$$,SingleMalt-like,Scotland,Malt
Glengoyne 12yo Cask Strength,8.56,$$$$,SingleMalt-like,Scotland,Malt
Tomatin Oloroso Sherry 1995,8.56,$$$$$,SingleMalt-like,Scotland,Malt
Westland Winter 2016,8.56,$$$$,SingleMalt-like,USA,Malt
Glenmorangie A Midwinter Night’s Dram,8.55,$$$$$,SingleMalt-like,Scotland,Malt
Macallan 30yo Fine Oak,8.55,$$$$$+,SingleMalt-like,Scotland,Malt
Dalmore 18yo,8.54,$$$$$,SingleMalt-like,Scotland,Malt
Dalwhinnie Distillers Edition,8.54,$$$$,SingleMalt-like,Scotland,Malt
"Glenfarclas 1968-2000 54.2% (OB, Old Stock Reserve, Ceramic)",8.54,$$$$$+,SingleMalt-like,Scotland,Malt
Teerenpeli Distiller’s Choice AURA,8.54,$$$$$,SingleMalt-like,Finland,Malt
Amrut Naarangi,8.53,$$$$$,SingleMalt-like,India,Malt
Arran Malt Sherry Single Cask,8.53,$$$$,SingleMalt-like,Scotland,Malt
Glengoyne 12yo,8.53,$$$,SingleMalt-like,Scotland,Malt
